route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type2_id,valid_from,valid_until
325,2,"325","","BROCHÓW - Chińska - Mościckiego - Gazowa - Tarnogajska - Armii Krajowej - Bardzka - Hubska - Sucha - Komandorska - Wielka - Krucza - Inżynierska - Hallera - Grabiszyńska - Solskiego - Ibn Siny Awicenny - AWICENNY (POCZTA POLSKA)|AWICENNY (POCZTA POLSKA) - Wiejska - Solskiego - Grabiszyńska - Hallera - Aleja Pracy - Inżynierska - Krucza - Wielka - Komandorska - Sucha - Hubska - Bardzka - Armii Krajowej - Tarnogajska - Gazowa - Mościckiego - Semaforowa - Centralna - Chińska - BROCHÓW",3,30,"2021-06-26","2999-01-01"
602,2,"602","","BISKUPICE PODGÓRNE LG ENERGY SOLUTION WROCŁAW I - LG - Seulska - Współpracy - Koreańska - Karkonoska - Powstańców Śl. - Peronowa - Stawowa - DWORZEC GŁÓWNY (STAWOWA)|DWORZEC GŁÓWNY (STAWOWA) - Powstańców Śl. - Karkonoska - Koreańska - LG - Seulska - Współpracy - LG - BISKUPICE PODGÓRNE LG ENERGY SOLUTION WROCŁAW I",3,34,"2021-07-10","2999-01-01"
607,2,"607","","KWISKA - Legnicka - Klecińska - Grabiszyńska - Solskiego - Mokronoska - Parkowa - Wrocławska - Fabryczna - LG - Seulska - Współpracy - Koreańska - LG - BISKUPICE PODGÓRNE LG ENERGY SOLUTION WROCŁAW I",3,34,"2021-06-26","2999-01-01"
609,2,"609","","JARNOŁTÓW - Jarnołtowska - Jerzmanowska - Żernicka - Zemska - Rogowska - Gubińska - Strzegomska - Otyńska - Fabryczna - Śrubowa - Strzegomska - Poznańska - Zachodnia - Rybacka - PL. SOLIDARNOŚCI|PL. SOLIDARNOŚCI - Legnicka - Strzegomska - TAT - Fabryczna - Strzegomska - Chociebuska - Rogowska - Żernicka - Jerzmanowska - Jarnołtowska - JARNOŁTÓW",3,34,"2021-07-10","2999-01-01"
612,2,"612","","KRZYKI - Karkonoska - Wrocławska - Kolejowa - Przystankowa - Pszenna - Chabrowa - Kutrzeby - Parafialna - Grota-Roweckiego - Borowska - Peronowa - DWORZEC GŁÓWNY|DWORZEC GŁÓWNY - Ślężna - Gliniana - Borowska - Grota-Roweckiego - Parafialna - Kutrzeby - Chabrowa - Pszenna - Przystankowa - Kolejowa - Wrocławska - Karkonoska - KRZYKI",3,34,"2021-06-26","2999-01-01"
722,11,"722","","ALEJA ARCHITEKTÓW - Kosmonautów - Aleja Architektów - Brzozy - Konińska - Kosmonautów - ALEJA ARCHITEKTÓW",3,32,"2021-07-23","2999-01-01"
731,2,"731","","STADION WROCŁAW (KRÓLEWIECKA) - Królewiecka - Pilczycka - Gwarecka - Dokerska - Kozanowska - Wejherowska - KWISKA|KWISKA - Popowicka - Kozanowska - Dokerska - Pilczycka - Królewiecka - STADION WROCŁAW (KRÓLEWIECKA)",3,32,"2021-07-17","2999-01-01"
744,2,"744","","WOJSZYCKA - Wojszycka - Pułtuska - Waligórskiego - Karkonoska - KRZYKI|KRZYKI - Waligórskiego - Wojszycka - WOJSZYCKA",3,32,"2021-06-26","2999-01-01"
904,10,"904","","ŁOZINA - SKRZY. - Wrocławska - Trzebnicka - Parkowa - Wrocławska - Bierutowska - Krzywoustego - Wyszyńskiego - Słowackiego - GALERIA DOMINIKAŃSKA|GALERIA DOMINIKAŃSKA - Wyszyńskiego - Krzywoustego - Bierutowska - Wrocławska - Parkowa - Trzebnicka - Wrocławska - ŁOZINA - SKRZY.",3,39,"2021-06-26","2999-01-01"
908,5,"908","","PSARY - WOLNOŚCI - Główna - Sułowska - Żmigrodzka - Sułowska - Żmigrodzka - Trzebnicka - pl. Powstańców Wielkopolskich - DWORZEC NADODRZE|DWORZEC NADODRZE - Trzebnicka - Żmigrodzka - Sułowska - Żmigrodzka - Sułowska - Główna - PSARY - WOLNOŚCI",3,39,"2021-06-26","2999-01-01"
911,10,"911","","BIELAWA - Wrocławska - Wilczycka - Wrocławska - Szewczenki - Gorlicka - ks. Mariana Stanety - Krzywoustego - Brücknera - Kochanowskiego - pl. Grunwaldzki - PL. GRUNWALDZKI|PL. GRUNWALDZKI - Kochanowskiego - Brücknera - Krzywoustego - ks. Mariana Stanety - Gorlicka - Szewczenki - Wrocławska - Wilczycka - Wrocławska - BIELAWA",3,39,"2021-06-26","2999-01-01"
914,10,"914","","PRUSZOWICE - Parkowa - Stawowa - Wrocławska - Trzebnicka - Parkowa - Wrocławska - Bierutowska - Krzywoustego - Wyszyńskiego - Słowackiego - GALERIA DOMINIKAŃSKA|GALERIA DOMINIKAŃSKA - Wyszyńskiego - Krzywoustego - Bierutowska - Wrocławska - Parkowa - Trzebnicka - Wrocławska - Stawowa - Parkowa - PRUSZOWICE",3,39,"2021-06-26","2999-01-01"
917,11,"917","","GAŁÓW (PĘTLA) - Słoneczna - Wrocławska - Gromadzka - Szkolna - Miodowa - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Miodowa - Szkolna - Gromadzka - Wrocławska - Słoneczna - GAŁÓW (PĘTLA)",3,39,"2021-07-23","2999-01-01"
921,10,"921","","RAKÓW - SKRZY. - Wrocławska - Wilczycka - Wrocławska - Szewczenki - Gorlicka - ks. Mariana Stanety - Krzywoustego - Brücknera - Kochanowskiego - pl. Grunwaldzki - PL. GRUNWALDZKI|PL. GRUNWALDZKI - Kochanowskiego - Brücknera - Krzywoustego - ks. Mariana Stanety - Gorlicka - Szewczenki - Wrocławska - Wilczycka - Wrocławska - RAKÓW - SKRZY.",3,39,"2021-06-26","2999-01-01"
923,11,"923","","BRZEZINA (PĘTLA) - Kopernika - Główna - Kolejowa - Wrocławska - Główna - Wilkszyńska - Stabłowicka - Jeleniogórska - Płońskiego - LEŚNICA|LEŚNICA - Jeleniogórska - Główna - Wilkszyńska - Główna - Wrocławska - Kolejowa - Główna - Kopernika - BRZEZINA (PĘTLA)",3,39,"2021-07-23","2999-01-01"
924,10,"924","","STĘPIN - KOŚCIÓŁ - Bursztynowa - Wiejska - Broniewskiego - Wrocławska - Bierutowska - Krzywoustego - Wyszyńskiego - Słowackiego - GALERIA DOMINIKAŃSKA|GALERIA DOMINIKAŃSKA - Wyszyńskiego - Krzywoustego - Bierutowska - Wrocławska - Broniewskiego - Wschodnia - Bursztynowa - STĘPIN - KOŚCIÓŁ",3,39,"2021-06-26","2999-01-01"
930,5,"930","","KRZYŻANOWICE - Główna - Kamieńskiego - Żmigrodzka - Kasprowicza - Boya-Żeleńskiego - KROMERA|KROMERA - Kasprowicza - Żmigrodzka - Kamieńskiego - Główna - KRZYŻANOWICE",3,39,"2021-06-26","2999-01-01"
931,10,"931","","KIEŁCZÓWEK - PĘTLA - Topolowa - Wilczycka - Wrocławska - Kiełczowska - Krzywoustego - ks. Mariana Stanety - MULICKA|MULICKA - Kiełczowska - Wrocławska - Wilczycka - Topolowa - KIEŁCZÓWEK - PĘTLA",3,39,"2021-06-26","2999-01-01"
934,10,"934","","JAKSONOWICE - SKRZY. - Milicka - Wrocławska - Trzebnicka - Stawowa - Parkowa - Stawowa - Okulickiego - Bora-Komorowskiego - Krzywoustego - ks. Mariana Stanety - MULICKA|MULICKA - Bora-Komorowskiego - Okulickiego - Stawowa - Parkowa - Stawowa - Trzebnicka - Wrocławska - Milicka - JAKSONOWICE - SKRZY.",3,39,"2021-06-26","2999-01-01"
936,10,"936","","GODZIESZOWA - TRANSFORMATOR - Wrocławska - Nowego Osiedla - Wrocławska - Pawłowicka - Azaliowa - Bora-Komorowskiego - Bierutowska - Wrocławska - Kiełczowska - MIRKÓW - SKRZY. POLNA|MIRKÓW - SKRZY. POLNA - Wrocławska - Bierutowska - Bora-Komorowskiego - Przedwiośnie - Starodębowa - Pawłowicka - Wrocławska - Nowego Osiedla - Wrocławska - GODZIESZOWA - TRANSFORMATOR",3,39,"2021-06-26","2999-01-01"
937,11,"937","","BRZEZINKA ŚREDZKA - PKP - Kolejowa - Główna - Kopernika - Chrobrego - Wińska - Dolnobrzeska - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Dolnobrzeska - Wińska - Chrobrego - Kopernika - Główna - Parkowa - Kolejowa - BRZEZINKA ŚREDZKA - PKP",3,39,"2021-07-23","2999-01-01"
938,11,"938","","LEŚNICA - Płońskiego - Rubczaka - Trzmielowicka - Średzka - Innowacyjna - Kościelna - LUTYNIA CENTRUM|LUTYNIA CENTRUM - Innowacyjna - Średzka - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LUTYNIA CENTRUM - Kościelna - Innowacyjna - Średzka - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA",3,39,"2021-07-23","2999-01-01"
941,10,"941","","SZCZODRE - PĘTLA - Trzebnicka - Parkowa - Broniewskiego - Wschodnia - Bursztynowa - Wrocławska - Wilczycka - KIEŁCZÓW - PĘTLA (PLAC JANA GDAKA)|KIEŁCZÓW - PĘTLA/WROCŁAWSKA - Wrocławska - Bursztynowa - Wiejska - Broniewskiego - Parkowa - Trzebnicka - SZCZODRE - PĘTLA",3,39,"2021-06-26","2999-01-01"
948,11,"948","","MIĘKINIA - PĘTLA - Sportowa - Kościuszki - Lipowa - Średzka - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Średzka - Lipowa - Kościuszki - Sportowa - MIĘKINIA - PĘTLA",3,39,"2021-07-23","2999-01-01"
958,11,"958","","KSIĘGINICE P&R - Kolejowa - Sportowa - Wrocławska - Średzka - Kościuszki - Piastowska - Chrobrego - Wrocławska - Średzka - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Średzka - Wrocławska - Chrobrego - Piastowska - Kościuszki - Średzka - Wrocławska - Sportowa - Kolejowa - KSIĘGINICE P&R",3,39,"2021-07-23","2999-01-01"
